Longueur onde;Absorbance
3.3E-7;0.4657
3.32E-7;0.4775
3.34E-7;0.4933
3.36E-7;0.5124
3.38E-7;0.5241
3.4E-7;0.5389
3.42E-7;0.5487
3.44E-7;0.5589
3.46E-7;0.5685
3.48E-7;0.5737
3.5E-7;0.5799
3.52E-7;0.5815
3.54E-7;0.5817
3.56E-7;0.5799
3.58E-7;0.5758
3.6E-7;0.572
3.62E-7;0.5663
3.64E-7;0.5575
3.66E-7;0.5482
3.68E-7;0.5348
3.7E-7;0.5247
3.72E-7;0.5108
3.74E-7;0.4966
3.76E-7;0.4836
3.78E-7;0.4688
3.8E-7;0.4575
3.82E-7;0.4168
3.84E-7;0.4023
3.86E-7;0.385
3.88E-7;0.3683
3.9E-7;0.3494
3.92E-7;0.3301
3.94E-7;0.3068
3.96E-7;0.2834
3.98E-7;0.2602
4E-7;0.2367
4.02E-7;0.2083
4.04E-7;0.1825
4.06E-7;0.1564
4.08E-7;0.1329
4.1E-7;0.1175
4.12E-7;0.0972
4.14E-7;0.0811
4.16E-7;0.0654
4.18E-7;0.0542
4.2E-7;0.0457
4.22E-7;0.0387
4.24E-7;0.0335
4.26E-7;0.0299
4.28E-7;0.0279
4.3E-7;0.0262
4.32E-7;0.0249
4.34E-7;0.0243
4.36E-7;0.0246
4.38E-7;0.0241
4.4E-7;0.0249
4.42E-7;0.0251
4.44E-7;0.0262
4.46E-7;0.0277
4.48E-7;0.0289
4.5E-7;0.0301
4.52E-7;0.0322
4.54E-7;0.0335
4.56E-7;0.0358
4.58E-7;0.0384
4.6E-7;0.0415
4.62E-7;0.0445
4.64E-7;0.0477
4.66E-7;0.0516
4.68E-7;0.0552
4.7E-7;0.0599
4.72E-7;0.0646
4.74E-7;0.0704
4.76E-7;0.0777
4.78E-7;0.0839
4.8E-7;0.091
4.82E-7;0.0978
4.84E-7;0.1069
4.86E-7;0.1154
4.88E-7;0.1245
4.9E-7;0.1342
4.92E-7;0.1449
4.94E-7;0.1554
4.96E-7;0.1711
4.98E-7;0.1835
5E-7;0.1955
5.02E-7;0.2099
5.04E-7;0.2246
5.06E-7;0.2393
5.08E-7;0.2542
5.1E-7;0.272
5.12E-7;0.294
5.14E-7;0.311
5.16E-7;0.3286
5.18E-7;0.3453
5.2E-7;0.3653
5.22E-7;0.3837
5.24E-7;0.4098
5.26E-7;0.43
5.28E-7;0.448
5.3E-7;0.4696
5.32E-7;0.4886
5.34E-7;0.5081
5.36E-7;0.5335
5.38E-7;0.5505
5.4E-7;0.5703
5.42E-7;0.5878
5.44E-7;0.6052
5.46E-7;0.6273
5.48E-7;0.6416
5.5E-7;0.6572
5.52E-7;0.6699
5.54E-7;0.6819
5.56E-7;0.6968
5.58E-7;0.7061
5.6E-7;0.7151
5.62E-7;0.722
5.64E-7;0.7284
5.66E-7;0.7311
5.68E-7;0.7311
5.7E-7;0.7303
5.72E-7;0.7245
5.74E-7;0.7176
5.76E-7;0.7083
5.78E-7;0.6975
5.8E-7;0.6782
5.82E-7;0.6593
5.84E-7;0.6397
5.86E-7;0.6182
5.88E-7;0.5874
5.9E-7;0.5634
5.92E-7;0.5354
5.94E-7;0.4997
5.96E-7;0.4727
5.98E-7;0.4454
6E-7;0.4083
6.02E-7;0.3837
6.04E-7;0.3563
6.06E-7;0.3333
6.08E-7;0.303
6.1E-7;0.2822
6.12E-7;0.2638
6.14E-7;0.2392
6.16E-7;0.22
6.18E-7;0.2041
6.2E-7;0.1848
6.22E-7;0.1711
6.24E-7;0.1544
6.26E-7;0.1435
6.28E-7;0.1321
6.3E-7;0.119
6.32E-7;0.1094
6.34E-7;0.1004
6.36E-7;0.0895
6.38E-7;0.0821
6.4E-7;0.0721
6.42E-7;0.0633
6.44E-7;0.0566
6.46E-7;0.0498
6.48E-7;0.0447
6.5E-7;0.0381
6.52E-7;0.0343
6.54E-7;0.0304
6.56E-7;0.0259
6.58E-7;0.023
6.6E-7;0.0197
6.62E-7;0.0174
6.64E-7;0.0153
6.66E-7;0.0146
6.68E-7;0.0125
6.7E-7;0.0119
6.72E-7;0.0108
6.74E-7;0.0099
6.76E-7;0.0095
6.78E-7;0.0088
6.8E-7;0.0084
6.82E-7;0.0081
6.84E-7;0.0081
6.86E-7;0.008
6.88E-7;0.0077
6.9E-7;0.0077
6.92E-7;0.008
6.94E-7;0.0077
6.96E-7;0.0079
6.98E-7;0.0077
7E-7;0.0077
7.02E-7;0.0073
7.04E-7;0.008
7.06E-7;0.008
7.08E-7;0.0079
7.1E-7;0.008
7.12E-7;0.008
7.14E-7;0.008
7.16E-7;0.0083
7.18E-7;0.0083
7.2E-7;0.0086
7.22E-7;0.0086
7.24E-7;0.0087
7.26E-7;0.0087
7.28E-7;0.0087
7.3E-7;0.009
7.32E-7;0.0087
7.34E-7;0.009
7.36E-7;0.0092
7.38E-7;0.0091
7.4E-7;0.0087
7.42E-7;0.0091
7.44E-7;0.0091
7.46E-7;0.0096
7.48E-7;0.0091
7.5E-7;0.0097
7.52E-7;0.0095
7.54E-7;0.0095
7.56E-7;0.0092
7.58E-7;0.0095
7.6E-7;0.0096
7.62E-7;0.0094
7.64E-7;0.0101
7.66E-7;0.0097
7.68E-7;0.0097
7.7E-7;0.0091
7.72E-7;0.0097
7.74E-7;0.0098
7.76E-7;0.0094
7.78E-7;0.0098
7.8E-7;0.01
7.82E-7;0.01
7.84E-7;0.0097
7.86E-7;0.0096
7.88E-7;0.0093
7.9E-7;0.0097
7.92E-7;0.0095
7.94E-7;0.009
7.96E-7;0.0097
7.98E-7;0.0094
8E-7;0.0092
